Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
"πᾶσιν, ἀειζώουσαν ἑὴν τεκτήνατο φύτλην,","πᾶ#σιν, ἀ#ει#ζώ#ου#σαν ἑ#ὴν τεκ#τή#να#το φύ#τλην,",,10,35,hex,DSDSDS,,,,5F,,,1F,,5F,7M,,,,,1,1,2,3,,,,,1 4 5 6
εὐσεβίης ξύμπασαν ἀεὶ πατέουσα πορείην.,εὐ#σε#βί#ης ξύμ#πα#σαν ἀ#εὶ πα#τέ#ου#σα πο#ρεί#ην.,,10,36,hex,DSDDDS,,,,5F,,,,3M,5F,7M,,,,,,0,2,3,,,,,4 6
"Τοὔνεκά μιν θεράποντες ἐπουρανίου βασιλῆος,","Τοὔ#νε#κά μιν θε#ρά#πον#τες ἐπ#ου#ρα#νί#ου βα#σι#λῆ#ος,",,10,37,hex,DDDDDT,,,3M,,,,,3M,5F,,1,,,,,1,5,2,,,,,1 6
"ὅσσοις δῶρα δίδωσιν, ὅσοις δωμήσατο νηούς,","ὅσ#σοις δῶ#ρα δί#δω#σιν, ὅσ#οις δω#μή#σα#το νη#ούς,",,10,38,hex,SDDSDS,,,,5F,,,,3F,5F,,1,,,,1,2,1,3,M,,,,1 2 5
προφρονέως ἐρύεσθε σὺν υἱέϊ τοῖό τε κούραις·,προφ#ρο#νέ#ως ἐ#ρύ#εσ#θε σὺν υἱ#έ#ϊ τοῖ#ό τε κού#ραις·,,10,39,hex,DDDDDS,,,,5F,,,,3M,5F,,,,1,1,1,3,2,3,,,,,5 6
"μίμνοι δ' ἄσπετον εὖχος ἀριστοπόνοιο γενέθλης,","μίμ#νοι δ' ἄσ#πε#τον εὖ#χος ἀ#ρισ#το#πό#νοι#ο γε#νέθ#λης,",,10,40,hex,SDDDDS,,,,5F,,,,,5F,,1,1,,,,2,2,5,,,,,1 2 3 6
εἰσόκεν ἠέλιος πυριλαμπέα δίφρον ἐλαύνει.,εἰσ#ό#κεν ἠ#έ#λι#ος πυ#ρι#λαμ#πέ#α δίφ#ρον ἐ#λαύ#νει.,,10,41,hex,DDDDDS,,,,5M,,,,,5M,,1,,,1,,2,2,3,,,,,5 6
"Ποῖος Ἰουλιανῆς χορὸς ἄρκιός ἐστιν ἀέθλοις,","Ποῖ#ος Ἰ#ου#λι#α#νῆς χο#ρὸς ἄρ#κι#ός ἐσ#τιν ἀ#έθ#λοις,",,10,42,hex,DDDDDS,,,,5M,,,1F,,5M,,,,1,1,,2,2,4,,,,,1 3 4 6
"ἣ μετὰ Κωνσταντῖνον, ἑῆς κοσμήτορα Ῥώμης,","ἣ με#τὰ Κων#σταν#τῖ#νον, ἑ#ῆς κοσ#μή#το#ρα Ῥώ#μης,",,10,43,hex,DSDSDS,,,,5F,,,1M,,5F,,1,,,,1,2,2,5,,,,,1 3 4 5 6
"καὶ μετὰ Θευδοσίου παγχρύσεον ἱερὸν ὄμμα,","καὶ με#τὰ Θευ#δο#σί#ου παγ#χρύ#σε#ον ἱ#ε#ρὸν ὄμ#μα,",,10,44,hex,DDSDDT,,,,5M,,,1M,,5M,,1,,,1,1,3,2,2,,,,,1 4 6
