Iamb,,,,,,,,,,,,
critical edition,hyphenation,manuscript version,epigrame no.,verse no.,metrical pattern,ms. metrical pattern,caesura,word before caesura,long syllabe before caesura,Porson bridge,"paroxyton word, 6th foot",homodynia
,,,,,,,,"oxiton=1, parox.=2, proparox.=3, perisp.=4, properisp.=5",,,,
τὸν φόρτον ἡμῶν ψυχικῆς τῆς ὁλκάδος.,τὸν φόρ#τον ἡ#μῶν ψυ#χι#κῆς τῆς ὁλ#κά#δος.,,118,4,SISISP,,5,4,1,1,1,1 4
"Ἀλλ', ὦ, γαλήνη καὶ στορεστὰ τῆς ζάλης,","Ἀλ#λ', ὦ, γα#λή#νη καὶ στο#ρεσ#τὰ τῆς ζά#λης,",,118,5,SISIII,,5,2,1,,1,1 2 3 5
"σύ, Χριστέ, δείξαις ἀβρόχους ἁμαρτίας","σύ, Χρισ#τέ, δεί#ξαις ἀβ#ρό#χους ἁ#μαρ#τί#ας",,118,6,IISIII,,5,2,1,,1,2
"τῷ σῷ πρὸς ὅρμῳ προσφόρως προσορμίσας,","τῷ σῷ πρὸς ὅ#ρμῳ προσ#φό#ρως προσ#ορ#μί#σας,",,118,7,SISIII,,5,2,1,,1,1 2
ἐχθρὸν δὲ τοῦτον συμφοραῖς βεβρεγμένον.,ἐχ#θρὸν δὲ τοῦ#τον συμ#φο#ραῖς βεβ#ρεγ#μέ#νον.,,118,8,SISIIP,,5,5,1,,1,1 2 4
"Εἰ φρικτὸν ἐν γῇ τοῦ θεοῦ ζητεῖς θρόνον,","Εἰ φρικ#τὸν ἐν γῇ τοῦ θε#οῦ ζη#τεῖς θρό#νον,",,120,1,SISISP,,5,4,1,,1,3 4 5
ἰδὼν τὸν οἶκον θαύμασον τῆς παρθένου·,ἰ#δὼν τὸν οἶ#κον θαύ#μα#σον τῆς παρ#θέ#νου·,,120,2,IIIISI,,5,5,0,1,1,1 2 3
ἡ γὰρ φέρουσα τὸν θεὸν ταῖς ἀγκάλαις,ἡ γὰρ φέ#ρου#σα τὸν θε#ὸν ταῖς ἀγ#κά#λαις,αὐτὴ γὰρ ἡ φέρουσα τὸν θεὸν ἐν ἀγκάλαις,120,3,SIIISI,Mol.IIIII,5,3,0,1,1,1 3  4
φέρει τὸν αὐτὸν εἰς τὸ τοῦ τόπου σέβας.,φέ#ρει τὸν αὐ#τὸν εἰς τὸ τοῦ τό#που σέ#βας.,,120,4,IIIIIP,,5,1,0,,1,4
Ἐνταῦθα τῆς γῆς οἱ κρατεῖν τεταγμένοι,Ἐν#ταῦ#θα τῆς γῆς οἱ κρα#τεῖν τε#ταγ#μέ#νοι,,120,5,SISIII,,5,4,1,,1,1 2 4
τὰ σκῆπτρα πιστεύουσι τῆς νίκης ἔχειν·,τὰ σκῆπ#τρα πισ#τεύ#ου#σι τῆς νί#κης ἔ#χειν·,,120,6,SISISI,,7,3,0,,1,1 4
ἐνταῦθα πολλὰς κοσμικὰς περιστάσεις,ἐν#ταῦ#θα πολ#λὰς κοσ#μι#κὰς πε#ρισ#τά#σεις,,120,7,SISIII,,5,1,1,,1,1 4
ὁ πατριάρχης ἀγρυπνῶν ἀνατρέπει.,ὁ πατ#ρι#άρ#χης ἀγ#ρυπ#νῶν ἀ#νατ#ρέ#πει.,,120,8,IISSII,,5,2,1,,1,2 4
